datetime,close,RSI,RSI_SMA
2025-05-07 09:15:00,54307.35,,
2025-05-07 10:15:00,54326.85,,
2025-05-07 11:15:00,54337.5,,
2025-05-07 12:15:00,54271.5,,
2025-05-07 13:15:00,54410.1,,
2025-05-07 14:15:00,54597.65,,
2025-05-07 15:15:00,54632.95,,
2025-05-07 16:15:00,54626.1,,
2025-05-08 09:15:00,54652.15,,
2025-05-09 09:15:00,53769.8,,
2025-05-09 10:15:00,53713.35,,
2025-05-09 11:15:00,53716.3,,
2025-05-09 12:15:00,53615.1,,
2025-05-09 13:15:00,53590.0,26.99,
2025-05-09 14:15:00,53589.5,26.98,
2025-05-09 15:15:00,53674.05,29.9,
2025-05-09 16:15:00,53628.4,28.63,
2025-05-12 09:15:00,55146.4,64.06,
2025-05-12 10:15:00,55304.55,64.29,
2025-05-12 11:15:00,55150.55,58.93,
2025-05-12 12:15:00,55189.9,58.98,
2025-05-12 13:15:00,55291.25,60.41,
2025-05-12 14:15:00,55325.0,60.5,
2025-05-12 15:15:00,55411.3,84.09,
2025-05-12 16:15:00,55423.5,86.19,
2025-05-13 09:15:00,55182.05,78.17,
2025-05-13 10:15:00,55108.8,79.02,57.653
2025-05-13 11:15:00,55171.35,80.28,61.459
2025-05-13 12:15:00,54990.8,75.1,64.896
2025-05-13 13:15:00,54933.6,72.79,67.96
2025-05-14 13:15:00,54654.95,67.13,70.71
2025-05-14 14:15:00,54808.15,39.64,68.966
2025-05-14 15:15:00,54860.55,35.45,66.906
2025-05-14 16:15:00,54858.85,39.38,65.509
2025-05-15 09:15:00,54562.75,30.77,63.494
2025-05-15 10:15:00,54616.7,28.7,61.229
2025-05-15 11:15:00,54711.7,31.35,59.147
2025-05-15 12:15:00,55096.4,41.9,56.134
2025-05-15 13:15:00,55432.0,50.19,53.562
2025-05-15 14:15:00,55362.55,54.31,51.858
2025-05-15 15:15:00,55336.7,55.57,50.183
2025-05-15 16:15:00,55360.15,54.7,48.356
2025-05-16 09:15:00,55277.45,57.5,47.099
2025-05-16 10:15:00,55273.5,59.15,46.124
2025-05-16 11:15:00,55263.05,69.14,46.268
2025-05-16 12:15:00,55306.3,66.85,48.211
2025-05-16 13:15:00,55347.7,66.6,50.436
2025-05-16 14:15:00,55363.1,67.02,52.411
2025-05-16 15:15:00,55350.8,82.91,56.135
2025-05-16 16:15:00,55338.55,81.23,59.887
2025-05-19 09:15:00,55480.95,81.97,63.503
2025-05-19 10:15:00,55627.5,77.52,66.047
2025-05-20 10:15:00,55208.3,39.33,65.271
2025-05-20 11:15:00,55122.2,38.72,64.158
2025-05-20 12:15:00,55009.65,35.8,62.746
2025-05-20 13:15:00,54965.5,33.17,61.208
2025-05-20 14:15:00,54910.25,33.97,59.527
2025-05-20 15:15:00,54932.35,35.34,57.826
2025-05-20 16:15:00,54912.9,35.07,55.393
2025-05-21 09:15:00,55260.3,48.44,54.078
2025-05-21 10:15:00,55218.1,45.61,52.579
2025-05-21 11:15:00,54813.25,35.27,50.311
2025-05-21 12:15:00,55012.95,41.78,47.373
2025-05-21 13:15:00,55007.95,41.92,44.565
2025-05-21 14:15:00,55066.9,39.46,41.529
2025-05-21 15:15:00,55065.6,34.55,38.459
2025-05-21 16:15:00,55062.7,44.81,38.851
2025-05-22 09:15:00,54849.5,41.08,39.019
2025-05-22 10:15:00,54747.75,41.37,39.417
2025-05-22 11:15:00,54644.8,39.83,39.893
2025-05-22 12:15:00,54647.35,41.38,40.422
2025-05-22 13:15:00,54653.75,40.77,40.81
2025-05-22 14:15:00,54942.85,50.84,41.936
2025-05-23 14:15:00,55391.25,53.48,42.296
2025-05-23 15:15:00,55389.6,54.66,42.943
2025-05-23 16:15:00,55419.1,70.7,45.474
2025-05-26 09:15:00,55739.55,72.93,47.699
2025-05-26 10:15:00,55480.1,62.84,49.193
2025-05-26 11:15:00,55531.1,62.68,50.851
2025-05-26 12:15:00,55509.1,61.98,52.811
2025-05-26 13:15:00,55527.1,62.44,54.07
2025-05-26 14:15:00,55577.1,71.36,56.233
2025-05-26 15:15:00,55558.9,75.04,58.638
2025-05-26 16:15:00,55579.85,80.41,61.536
2025-05-27 09:15:00,55112.45,61.61,62.981
2025-05-27 10:15:00,55354.35,65.65,64.759
2025-05-27 11:15:00,55598.8,64.95,65.766
2025-05-27 12:15:00,55411.5,50.52,65.555
2025-05-27 13:15:00,55266.95,47.04,65.011
2025-05-27 14:15:00,55384.55,49.2,63.475
2025-05-27 15:15:00,55352.45,39.68,61.1
2025-05-27 16:15:00,55320.25,45.15,59.836
2025-05-28 09:15:00,55335.6,43.94,58.498
2025-05-28 10:15:00,55384.9,46.21,57.371
2025-05-28 11:15:00,55318.5,43.82,56.041
2025-05-28 12:15:00,55387.1,44.43,54.118
2025-05-29 12:15:00,55266.35,41.91,51.751
2025-05-29 13:15:00,55201.25,39.78,48.849
2025-05-29 14:15:00,55591.8,63.49,48.984
2025-05-29 15:15:00,55746.85,61.62,48.696
2025-05-29 16:15:00,55641.75,51.39,47.727
2025-05-30 09:15:00,55559.85,55.13,48.056
2025-05-30 10:15:00,55460.85,56.93,48.763
2025-05-30 11:15:00,55431.15,51.78,48.947
2025-05-30 12:15:00,55557.85,57.31,50.206
2025-05-30 13:15:00,55624.15,60.55,51.306
2025-05-30 14:15:00,55755.75,63.5,52.704
2025-05-30 15:15:00,55755.7,62.3,53.853
2025-05-30 16:15:00,55763.05,65.35,55.391
2025-06-02 09:15:00,55585.25,56.36,56.243
2025-06-02 10:15:00,55615.7,61.91,57.671
2025-06-02 11:15:00,55726.1,67.36,59.641
2025-06-02 12:15:00,55780.9,58.04,59.252
2025-06-02 13:15:00,55787.15,51.96,58.562
2025-06-02 14:15:00,55918.3,63.13,59.401
2025-06-02 15:15:00,55862.05,64.7,60.084
2025-06-02 16:15:00,55829.45,69.17,60.959
2025-06-03 09:15:00,55841.95,71.75,62.385
2025-06-03 10:15:00,55861.85,68.15,63.159
2025-06-04 10:15:00,55594.5,48.57,62.304
2025-06-04 11:15:00,55686.05,46.51,61.09
2025-06-04 12:15:00,55645.4,44.69,59.832
2025-06-04 13:15:00,55670.65,45.63,58.424
2025-06-04 14:15:00,55666.3,54.59,58.297
2025-06-04 15:15:00,55665.55,52.92,57.655
2025-06-04 16:15:00,55672.05,46.4,56.158
2025-06-05 09:15:00,55744.6,47.64,55.415
2025-06-05 10:15:00,55718.45,45.64,54.964
2025-06-05 11:15:00,55963.25,52.49,54.204
2025-06-05 12:15:00,55762.95,45.26,52.815
2025-06-05 13:15:00,55676.85,43.06,50.95
2025-06-05 14:15:00,55770.2,46.96,49.179
2025-06-05 15:15:00,55809.75,47.83,47.728
2025-06-05 16:15:00,55823.25,62.1,48.694
2025-06-06 09:15:00,55690.55,50.23,48.96
2025-06-06 10:15:00,56567.85,75.3,51.146
2025-06-06 11:15:00,56591.9,75.28,53.264
2025-06-06 12:15:00,56568.35,74.5,54.686
2025-06-06 13:15:00,56627.0,75.31,56.286
