datetime,close,RSI,RSI_SMA,Signal
2019-12-19 08:15:00,12223.4,,,
2019-12-19 09:15:00,12211.0,,,
2019-12-19 10:15:00,12226.2,,,
2019-12-19 11:15:00,12246.6,,,
2019-12-19 12:15:00,12233.45,,,
2019-12-19 13:15:00,12250.4,,,
2019-12-19 14:15:00,12258.45,,,
2019-12-19 15:15:00,12261.55,,,
2019-12-19 16:15:00,12259.8,,,
2019-12-20 08:15:00,12266.45,,,
2019-12-20 09:15:00,12280.5,,,
2019-12-20 10:15:00,12281.1,,,
2019-12-20 11:15:00,12284.75,,,
2019-12-20 12:15:00,12269.9,67.78,,
2019-12-20 13:15:00,12277.0,69.43,,
2019-12-20 14:15:00,12267.15,70.74,,
2019-12-20 15:15:00,12272.45,68.43,,
2019-12-20 16:15:00,12267.45,59.47,,
2019-12-23 08:15:00,12235.45,50.78,,
2019-12-23 09:15:00,12270.95,56.97,,
2019-12-23 10:15:00,12265.5,52.43,,
2019-12-23 11:15:00,12269.15,52.61,,
2019-12-23 12:15:00,12256.65,48.99,,
2019-12-23 13:15:00,12246.6,43.78,,
2019-12-23 14:15:00,12264.15,44.99,,
2019-12-23 15:15:00,12270.2,46.77,,
2019-12-23 16:15:00,12266.15,44.49,55.54714285714285,
2019-12-24 08:15:00,12269.25,49.79,54.26214285714286,
2019-12-24 09:15:00,12260.25,44.73,52.49785714285714,
2019-12-24 10:15:00,12247.3,43.88,50.57928571428572,
2019-12-24 11:15:00,12249.5,42.79,48.74785714285714,
2019-12-24 12:15:00,12246.65,43.37,47.597857142857144,
2019-12-24 13:15:00,12245.35,53.92,47.82214285714286,
2019-12-24 14:15:00,12211.25,26.08,45.61571428571428,Buy
2019-12-24 15:15:00,12208.7,26.7,43.777857142857144,Hold
2019-12-24 16:15:00,12212.0,26.49,41.912142857142854,Hold
2019-12-26 08:15:00,12211.85,29.49,40.519285714285715,Hold
2019-12-26 09:15:00,12208.55,31.43,39.63714285714286,Hold
2019-12-26 10:15:00,12194.3,14.78,37.47928571428571,Hold
2019-12-26 11:15:00,12189.15,8.75,34.76357142857143,Hold
2019-12-26 12:15:00,12175.6,7.98,32.15571428571429,Hold
2019-12-26 13:15:00,12161.4,4.63,28.93,Hold
2019-12-26 14:15:00,12130.9,3.92,26.014999999999997,Hold
2019-12-26 15:15:00,12125.7,4.15,23.177142857142858,Hold
2019-12-26 16:15:00,12130.9,6.27,20.568571428571428,Hold
2019-12-27 08:15:00,12172.9,28.9,19.535,Hold
2019-12-27 09:15:00,12192.05,36.16,18.26642857142857,Hold
2020-01-01 13:15:00,12182.05,41.34,19.356428571428573,Hold
2020-01-01 14:15:00,12182.3,42.06,20.45357142857143,Hold
2020-01-01 15:15:00,12184.8,41.78,21.545714285714286,Hold
2020-01-01 16:15:00,12189.7,43.49,22.545714285714286,Hold
2020-01-02 08:15:00,12198.55,47.15,23.66857142857143,Hold
2020-01-02 09:15:00,12219.6,56.93,26.679285714285715,Hold
2020-01-02 10:15:00,12228.45,60.55,30.379285714285714,Hold
2020-01-02 11:15:00,12256.05,70.09,34.815714285714286,Sell
2020-01-02 12:15:00,12258.45,75.75,39.895714285714284,Waiting
2020-01-02 13:15:00,12262.7,90.63,46.089285714285715,Waiting
2020-01-02 14:15:00,12283.55,94.38,52.534285714285716,Waiting
2020-01-02 15:15:00,12281.0,92.84,58.71785714285714,Waiting
2020-01-02 16:15:00,12282.95,90.71,63.13285714285714,Waiting
2020-01-03 08:15:00,12261.1,75.05,65.91071428571429,Waiting
2020-01-03 09:15:00,12254.55,76.97,68.45571428571428,Waiting
2020-01-03 10:15:00,12243.45,71.05,70.52642857142857,Waiting
2020-01-03 11:15:00,12222.9,61.67,71.94714285714285,Waiting
2020-01-03 12:15:00,12236.6,63.63,73.38571428571429,Waiting
2020-01-03 13:15:00,12214.55,54.32,73.89785714285713,Waiting
2020-01-03 14:15:00,12226.6,51.99,73.545,Waiting
2020-01-03 15:15:00,12231.6,50.91,72.85642857142857,Waiting
2020-01-03 16:15:00,12223.8,39.44,70.66714285714286,Waiting
2020-01-06 08:15:00,12170.6,28.41,67.28571428571429,Waiting
2020-01-06 09:15:00,12086.8,18.92,62.16357142857142,Buy
2020-01-06 10:15:00,12070.7,11.75,56.26142857142857,Hold
2020-01-06 11:15:00,12022.1,10.08,50.35,Hold
2020-01-06 12:15:00,12019.05,9.45,44.54571428571428,Hold
2020-01-06 13:15:00,11991.4,9.28,39.847857142857144,Hold
2020-01-06 14:15:00,11994.5,10.33,35.08785714285714,Hold
2020-01-06 15:15:00,11994.95,10.82,30.785714285714285,Hold
2020-01-06 16:15:00,11988.1,11.31,27.18857142857143,Hold
2020-01-07 08:15:00,12079.1,29.31,24.737142857142857,Hold
2020-01-07 09:15:00,12130.8,39.8,23.7,Hold
2020-01-07 10:15:00,12063.1,32.46,22.305,Hold
2020-01-07 11:15:00,12078.6,33.95,21.09357142857143,Hold
2020-01-07 12:15:00,12034.0,31.51,20.527142857142856,Hold
2020-01-07 13:15:00,12039.9,35.98,21.067857142857143,Hold
2020-01-07 14:15:00,12055.15,46.02,23.00357142857143,Hold
2020-01-07 15:15:00,12064.4,49.19,25.677857142857142,Hold
2020-01-07 16:15:00,12060.3,55.52,28.923571428571428,Hold
2020-01-08 08:15:00,11939.1,41.39,31.205000000000002,Hold
2020-01-08 09:15:00,11996.05,50.47,34.14714285714286,Hold
2020-01-08 10:15:00,11964.55,47.13,36.77571428571429,Hold
2020-01-08 11:15:00,11959.55,46.64,39.33428571428571,Hold
2020-01-08 12:15:00,11991.1,50.27,42.117142857142866,Hold
2020-01-08 13:15:00,12007.55,42.49,43.05857142857143,Hold
2020-01-08 14:15:00,12023.5,37.83,42.917857142857144,Hold
2020-01-08 15:15:00,12028.6,45.44,43.845000000000006,Hold
2020-01-08 16:15:00,12021.6,42.29,44.440714285714286,Hold
2020-01-09 08:15:00,12153.15,63.04,46.692857142857136,Hold
2020-01-09 09:15:00,12156.35,62.82,48.61000000000001,Hold
