,datetime,open,high,low,close,volume
0,2019-12-18 09:15:00,125.95,126.05,125.7,126.0,44455
1,2019-12-18 09:45:00,126.04,126.13,125.8,125.85,3056
2,2019-12-18 10:15:00,125.99,126.0,125.68,125.68,1255
3,2019-12-18 10:45:00,125.67,125.67,125.56,125.56,142
4,2019-12-18 11:15:00,125.56,125.88,125.56,125.6,90
5,2019-12-18 11:45:00,125.89,126.0,125.6,126.0,5320
6,2019-12-18 12:15:00,125.64,125.9,125.64,125.9,8204
7,2019-12-18 12:45:00,125.9,126.05,125.7,125.82,28708
8,2019-12-18 13:15:00,125.82,125.82,125.82,125.82,10
9,2019-12-18 13:45:00,125.85,126.0,125.85,126.0,1037
10,2019-12-18 14:15:00,126.0,126.1,125.98,126.1,7215
11,2019-12-18 14:45:00,126.1,126.26,126.1,126.26,15014
12,2019-12-18 15:15:00,126.26,126.3,126.08,126.3,1408
13,2019-12-19 09:15:00,126.35,126.39,125.77,126.13,69
14,2019-12-19 09:45:00,126.0,126.0,125.72,125.72,2024
15,2019-12-19 10:15:00,125.93,125.93,125.78,125.85,491
16,2019-12-19 10:45:00,125.85,126.05,125.82,126.05,8840
17,2019-12-19 11:15:00,126.15,126.4,126.15,126.16,19498
18,2019-12-19 11:45:00,126.38,126.39,126.38,126.39,11
19,2019-12-19 12:15:00,126.37,126.4,126.27,126.38,3368
20,2019-12-19 12:45:00,126.38,126.38,126.23,126.23,1023
21,2019-12-19 13:15:00,126.25,126.25,126.25,126.25,102
22,2019-12-19 13:45:00,126.36,126.37,126.3,126.3,1060
23,2019-12-19 14:15:00,126.4,126.5,126.4,126.5,2109
24,2019-12-19 14:45:00,126.49,126.5,126.29,126.32,2140
25,2019-12-19 15:15:00,126.49,126.5,126.37,126.5,4547
26,2019-12-20 09:15:00,126.39,126.78,126.39,126.75,982
27,2019-12-20 09:45:00,126.53,126.74,126.44,126.74,1770
28,2019-12-20 10:15:00,126.74,126.74,126.4,126.59,443
