datetime,open,high,low,close,volume
2020-06-08 09:15:00,10315.1,10328.5,10288.45,10315.4,0
2020-06-08 09:45:00,10316.5,10317.6,10263.9,10287.9,0
2020-06-08 10:15:00,10289.7,10308.9,10283.4,10284.7,0
2020-06-08 10:45:00,10284.3,10305.85,10275.45,10303.4,0
2020-06-08 11:15:00,10304.45,10309.5,10276.35,10291.6,0
2020-06-08 11:45:00,10291.9,10302.8,10278.6,10290.8,0
2020-06-08 12:15:00,10290.35,10297.6,10218.4,10231.15,0
2020-06-08 12:45:00,10230.15,10231.05,10183.1,10214.75,0
2020-06-08 13:15:00,10214.4,10216.7,10149.1,10196.35,0
2020-06-08 13:45:00,10196.55,10210.85,10170.5,10170.5,0
2020-06-08 14:15:00,10170.85,10199.8,10120.25,10169.6,0
2020-06-08 14:45:00,10170.6,10190.15,10142.6,10164.2,0
2020-06-08 15:15:00,10164.5,10182.6,10153.05,10167.45,0
2020-06-09 09:15:00,10180.9,10214.8,10135.1,10165.2,0
2020-06-09 09:45:00,10165.45,10261.95,10164.8,10248.25,0
2020-06-09 10:15:00,10248.75,10271.85,10238.7,10258.0,0
2020-06-09 10:45:00,10258.25,10271.45,10228.15,10252.05,0
2020-06-09 11:15:00,10252.8,10267.7,10243.8,10263.3,0
2020-06-09 11:45:00,10263.55,10291.15,10258.05,10266.6,0
2020-06-09 12:15:00,10266.55,10273.2,10233.95,10239.25,0
2020-06-09 12:45:00,10238.85,10239.35,10167.95,10179.25,0
2020-06-09 13:15:00,10181.1,10193.8,10144.8,10162.05,0
2020-06-09 13:45:00,10161.25,10175.4,10092.2,10096.5,0
2020-06-09 14:15:00,10094.9,10125.1,10035.05,10038.75,0
2020-06-09 14:45:00,10037.65,10079.75,10021.45,10051.75,0
2020-06-09 15:15:00,10052.25,10054.15,10025.9,10046.65,0
2020-06-10 09:15:00,10072.4,10119.85,10060.5,10073.25,0
2020-06-10 09:45:00,10072.2,10084.2,10036.85,10071.25,0
2020-06-10 10:15:00,10071.15,10137.9,10071.15,10127.55,0
2020-06-10 10:45:00,10128.1,10135.05,10104.2,10123.7,0
2020-06-10 11:15:00,10123.45,10132.15,10076.75,10084.75,0
2020-06-10 11:45:00,10083.85,10096.35,10063.2,10088.95,0
2020-06-10 12:15:00,10088.1,10118.95,10071.9,10116.05,0
2020-06-10 12:45:00,10115.15,10140.4,10097.05,10112.9,0
2020-06-10 13:15:00,10112.3,10123.25,10086.4,10103.85,0
2020-06-10 13:45:00,10104.1,10114.3,10084.45,10102.1,0
2020-06-10 14:15:00,10103.3,10114.7,10053.45,10064.3,0
2020-06-10 14:45:00,10064.6,10129.3,10053.75,10129.3,0
2020-06-10 15:15:00,10128.8,10148.75,10116.15,10116.15,0
2020-06-11 09:15:00,10089.1,10112.05,10047.1,10088.7,0
2020-06-11 09:45:00,10088.95,10102.3,10071.65,10090.8,0
2020-06-11 10:15:00,10090.7,10094.4,10055.85,10068.05,0
2020-06-11 10:45:00,10068.4,10068.4,10022.65,10022.95,0
2020-06-11 11:15:00,10022.35,10043.0,10005.85,10034.25,0
2020-06-11 11:45:00,10034.2,10046.15,10014.2,10023.05,0
2020-06-11 12:15:00,10023.75,10025.75,9982.2,9984.45,0
2020-06-11 12:45:00,9984.2,10038.5,9977.7,10014.7,0
2020-06-11 13:15:00,10014.55,10021.05,9967.0,9991.35,0
2020-06-11 13:45:00,9991.6,10008.1,9951.55,9957.85,0
2020-06-11 14:15:00,9958.4,9960.3,9899.9,9913.2,0
2020-06-11 14:45:00,9912.9,9927.8,9885.05,9893.65,0
2020-06-11 15:15:00,9895.55,9915.0,9886.9,9902.0,0
2020-06-12 09:15:00,9544.35,9714.3,9544.35,9712.25,0
2020-06-12 09:45:00,9714.0,9715.4,9658.1,9677.35,0
2020-06-12 10:15:00,9677.1,9745.8,9669.7,9735.95,0
2020-06-12 10:45:00,9736.35,9741.9,9699.45,9715.35,0
2020-06-12 11:15:00,9714.7,9818.45,9709.85,9785.8,0
2020-06-12 11:45:00,9786.0,9788.75,9747.4,9754.7,0
2020-06-12 12:15:00,9754.5,9761.55,9718.85,9758.65,0
2020-06-12 12:45:00,9758.2,9783.7,9747.7,9758.15,0
2020-06-12 13:15:00,9758.1,9831.55,9751.7,9809.3,0
2020-06-12 13:45:00,9808.25,9914.2,9807.65,9871.95,0
2020-06-12 14:15:00,9873.7,9928.5,9873.1,9917.35,0
2020-06-12 14:45:00,9917.1,9996.05,9913.9,9974.7,0
2020-06-12 15:15:00,9976.15,9983.15,9951.7,9972.9,0
2020-06-15 09:15:00,9902.5,9943.35,9862.5,9892.35,0
2020-06-15 09:45:00,9892.9,9909.65,9857.2,9867.1,0
2020-06-15 10:15:00,9867.6,9867.6,9789.1,9807.45,0
2020-06-15 10:45:00,9807.6,9821.95,9761.0,9770.15,0
2020-06-15 11:15:00,9769.5,9786.75,9747.05,9779.0,0
2020-06-15 11:45:00,9779.15,9786.0,9726.35,9735.15,0
2020-06-15 12:15:00,9734.95,9766.15,9729.5,9758.7,0
2020-06-15 12:45:00,9758.1,9781.4,9738.65,9765.6,0
2020-06-15 13:15:00,9766.1,9815.1,9761.5,9782.0,0
2020-06-15 13:45:00,9782.6,9835.8,9771.25,9822.75,0
2020-06-15 14:15:00,9823.45,9873.35,9788.4,9809.0,0
2020-06-15 14:45:00,9809.05,9873.9,9789.2,9810.25,0
2020-06-15 15:15:00,9812.05,9824.4,9792.7,9813.7,0
2020-06-16 09:15:00,10005.25,10046.15,9986.8,9994.6,0
2020-06-16 09:45:00,9994.7,10006.25,9966.3,9985.35,0
2020-06-16 10:15:00,9985.45,10010.5,9971.25,9997.45,0
2020-06-16 10:45:00,9996.85,10018.8,9984.55,9986.3,0
2020-06-16 11:15:00,9985.85,10010.5,9952.4,9954.25,0
2020-06-16 11:45:00,9954.4,9974.75,9931.6,9940.5,0
2020-06-16 12:15:00,9940.75,9941.35,9897.65,9919.9,0
2020-06-16 12:45:00,9919.0,9955.3,9830.05,9843.15,0
2020-06-16 13:15:00,9844.3,9846.55,9728.5,9805.5,0
2020-06-16 13:45:00,9806.1,9887.55,9806.1,9862.7,0
2020-06-16 14:15:00,9863.65,9940.85,9851.7,9891.2,0
2020-06-16 14:45:00,9892.15,9935.65,9878.95,9915.35,0
2020-06-16 15:15:00,9915.4,9924.0,9898.4,9914.0,0
2020-06-17 09:15:00,9864.25,9944.85,9833.8,9919.4,0
2020-06-17 09:45:00,9919.2,9956.35,9897.35,9937.6,0
2020-06-17 10:15:00,9937.7,9942.1,9863.95,9870.95,0
2020-06-17 10:45:00,9871.1,9895.35,9862.8,9883.95,0
2020-06-17 11:15:00,9883.3,9925.25,9872.35,9893.9,0
2020-06-17 11:45:00,9893.65,9945.15,9891.75,9939.25,0
2020-06-17 12:15:00,9939.35,9970.45,9938.4,9949.7,0
2020-06-17 12:45:00,9949.35,9979.9,9928.35,9974.1,0
2020-06-17 13:15:00,9974.6,10003.6,9930.3,9962.3,0
2020-06-17 13:45:00,9963.15,9978.1,9944.6,9945.55,0
2020-06-17 14:15:00,9945.35,9964.4,9916.1,9932.4,0
2020-06-17 14:45:00,9931.75,9931.75,9864.55,9881.1,0
2020-06-17 15:15:00,9881.05,9889.5,9868.45,9881.15,0
2020-06-18 09:15:00,9861.4,9895.9,9845.05,9885.0,0
2020-06-18 09:45:00,9884.95,9910.8,9874.4,9910.8,0
2020-06-18 10:15:00,9911.65,9927.7,9897.5,9898.05,0
2020-06-18 10:45:00,9898.2,9917.9,9886.65,9913.25,0
2020-06-18 11:15:00,9913.1,9941.2,9911.2,9922.4,0
2020-06-18 11:45:00,9921.6,9974.1,9917.45,9969.15,0
2020-06-18 12:15:00,9968.9,9984.45,9946.0,9966.55,0
2020-06-18 12:45:00,9967.15,9989.35,9964.2,9964.3,0
2020-06-18 13:15:00,9964.05,10016.85,9964.05,10006.2,0
2020-06-18 13:45:00,10005.35,10056.55,9999.95,10056.55,0
2020-06-18 14:15:00,10055.85,10107.7,10055.15,10058.45,0
2020-06-18 14:45:00,10057.95,10110.15,10055.45,10082.95,0
2020-06-18 15:15:00,10083.05,10111.2,10080.95,10091.65,0
2020-06-19 09:15:00,10105.75,10162.2,10072.65,10088.0,0
2020-06-19 09:45:00,10087.35,10139.85,10083.15,10130.5,0
2020-06-19 10:15:00,10129.8,10134.8,10097.75,10116.15,0
2020-06-19 10:45:00,10115.35,10145.9,10090.4,10139.8,0
2020-06-19 11:15:00,10139.55,10184.85,10132.4,10182.35,0
2020-06-19 11:45:00,10182.6,10212.7,10174.05,10195.7,0
2020-06-19 12:15:00,10196.45,10209.15,10176.3,10201.2,0
2020-06-19 12:45:00,10201.5,10206.4,10136.65,10169.5,0
2020-06-19 13:15:00,10170.05,10225.55,10160.75,10196.2,0
2020-06-19 13:45:00,10196.3,10211.25,10155.1,10185.3,0
2020-06-19 14:15:00,10184.8,10244.95,10181.0,10235.75,0
2020-06-19 14:45:00,10236.9,10272.4,10229.65,10249.75,0
2020-06-19 15:15:00,10250.05,10263.85,10233.85,10244.4,0
2020-06-22 09:15:00,10300.75,10376.7,10285.6,10366.6,0
2020-06-22 09:45:00,10366.4,10386.4,10326.1,10331.95,0
2020-06-22 10:15:00,10332.2,10354.85,10303.7,10305.95,0
2020-06-22 10:45:00,10306.5,10328.4,10283.05,10301.55,0
2020-06-22 11:15:00,10301.65,10322.85,10277.6,10296.5,0
2020-06-22 11:45:00,10296.4,10308.5,10285.75,10301.1,0
2020-06-22 12:15:00,10301.4,10334.75,10301.4,10333.15,0
2020-06-22 12:45:00,10334.15,10362.3,10328.3,10338.5,0
2020-06-22 13:15:00,10337.9,10367.6,10335.25,10353.4,0
2020-06-22 13:45:00,10353.85,10384.75,10342.8,10374.9,0
2020-06-22 14:15:00,10375.7,10393.65,10359.65,10376.6,0
2020-06-22 14:45:00,10376.45,10377.2,10278.5,10317.55,0
2020-06-22 15:15:00,10318.3,10331.1,10308.2,10311.2,0
2020-06-23 09:15:00,10345.15,10378.15,10328.1,10337.1,0
2020-06-23 09:45:00,10337.8,10359.0,10301.75,10358.9,0
2020-06-23 10:15:00,10358.65,10388.25,10358.65,10385.55,0
2020-06-23 10:45:00,10385.9,10386.3,10357.4,10363.0,0
2020-06-23 11:15:00,10363.3,10375.7,10352.05,10373.7,0
2020-06-23 11:45:00,10373.75,10402.7,10373.55,10386.0,0
2020-06-23 12:15:00,10385.9,10405.65,10372.2,10398.15,0
2020-06-23 12:45:00,10399.9,10430.05,10399.35,10424.9,0
2020-06-23 13:15:00,10426.1,10432.2,10405.3,10405.4,0
2020-06-23 13:45:00,10405.0,10426.5,10390.0,10410.4,0
2020-06-23 14:15:00,10410.0,10458.9,10401.1,10448.7,0
2020-06-23 14:45:00,10448.15,10479.0,10442.5,10469.35,0
2020-06-23 15:15:00,10469.0,10484.7,10462.2,10471.0,0
2020-06-24 09:15:00,10513.55,10542.75,10497.95,10530.85,0
2020-06-24 09:45:00,10530.6,10545.95,10518.6,10544.6,0
2020-06-24 10:15:00,10545.35,10553.15,10504.4,10513.3,0
2020-06-24 10:45:00,10513.45,10513.55,10451.2,10471.2,0
2020-06-24 11:15:00,10469.95,10489.15,10440.15,10443.15,0
2020-06-24 11:45:00,10443.2,10488.15,10440.45,10478.95,0
2020-06-24 12:15:00,10477.55,10528.1,10475.4,10515.4,0
2020-06-24 12:45:00,10515.75,10538.5,10448.4,10448.4,0
2020-06-24 13:15:00,10448.5,10470.35,10390.5,10393.25,0
2020-06-24 13:45:00,10392.75,10439.8,10371.7,10396.75,0
2020-06-24 14:15:00,10398.2,10423.65,10340.85,10352.75,0
2020-06-24 14:45:00,10353.1,10356.05,10281.95,10302.25,0
2020-06-24 15:15:00,10301.9,10320.2,10289.2,10305.3,0
2020-06-25 09:15:00,10210.25,10285.7,10194.5,10271.35,0
2020-06-25 09:45:00,10270.1,10297.9,10255.35,10262.7,0
2020-06-25 10:15:00,10262.3,10348.35,10260.65,10319.35,0
2020-06-25 10:45:00,10318.6,10356.05,10308.85,10334.25,0
2020-06-25 11:15:00,10334.0,10349.4,10307.25,10315.95,0
